order_id,order_date,ship_mode,segment,region,category,sales,quantity,profit
CA-2014-100006,2014-09-07,Standard Class,Consumer,East,Technology,377.97,3,109.6113
CA-2014-100090,2014-07-08,Standard Class,Corporate,West,Furniture,502.488,3,-87.9354
CA-2014-100090,2014-07-08,Standard Class,Corporate,West,Office Supplies,196.704,6,68.8464
CA-2014-100293,2014-03-14,Standard Class,Home Office,South,Office Supplies,91.056,6,31.8696
CA-2014-100328,2014-01-28,Standard Class,Consumer,East,Office Supplies,3.928,1,1.3257
CA-2014-100363,2014-04-08,Standard Class,Corporate,West,Office Supplies,2.368,2,0.8288
CA-2014-100363,2014-04-08,Standard Class,Corporate,West,Office Supplies,19.008,3,6.8904
CA-2014-100391,2014-05-25,Standard Class,Consumer,East,Office Supplies,14.62,2,6.7252
CA-2014-100678,2014-04-18,Standard Class,Consumer,Central,Office Supplies,2.688,2,1.008
CA-2014-100678,2014-04-18,Standard Class,Consumer,Central,Furniture,317.058,3,-18.1176
CA-2014-100678,2014-04-18,Standard Class,Consumer,Central,Office Supplies,149.352,3,50.4063
CA-2014-100678,2014-04-18,Standard Class,Consumer,Central,Technology,227.976,3,28.497
CA-2014-100706,2014-12-16,Second Class,Consumer,South,Technology,99.98,2,7.99839999999999
CA-2014-100706,2014-12-16,Second Class,Consumer,South,Furniture,29.46,6,9.7218
CA-2014-100762,2014-11-24,Standard Class,Corporate,Central,Office Supplies,151.92,4,45.576
CA-2014-100762,2014-11-24,Standard Class,Corporate,Central,Office Supplies,196.62,2,96.3438
CA-2014-100762,2014-11-24,Standard Class,Corporate,Central,Office Supplies,144.12,3,69.1776
CA-2014-100762,2014-11-24,Standard Class,Corporate,Central,Office Supplies,15.96,2,7.98
CA-2014-100860,2014-03-26,Second Class,Consumer,West,Office Supplies,18.75,5,9
CA-2014-100867,2014-10-19,Standard Class,Home Office,West,Technology,321.552,6,20.097
CA-2014-100881,2014-03-28,Standard Class,Home Office,West,Technology,302.376,3,22.6782
CA-2014-100895,2014-06-02,Standard Class,Consumer,South,Office Supplies,8.56,2,2.6536
CA-2014-100895,2014-06-02,Standard Class,Consumer,South,Technology,239.97,3,67.1916
CA-2014-100895,2014-06-02,Standard Class,Consumer,South,Office Supplies,356.94,2,107.082
CA-2014-100916,2014-10-21,Standard Class,Corporate,South,Office Supplies,194.7,5,9.73499999999998
CA-2014-100916,2014-10-21,Standard Class,Corporate,South,Furniture,591.32,4,112.3508
CA-2014-100916,2014-10-21,Standard Class,Corporate,South,Office Supplies,2.84,1,0.8804
CA-2014-100972,2014-11-19,Second Class,Home Office,West,Office Supplies,166.44,3,79.8912
CA-2014-101147,2014-12-02,First Class,Consumer,Central,Office Supplies,2.394,1,-6.3441
CA-2014-101175,2014-12-09,Standard Class,Corporate,West,Office Supplies,100.704,6,-1.2588
CA-2014-101266,2014-08-27,Second Class,Consumer,South,Office Supplies,13.36,2,6.4128
CA-2014-101364,2014-12-22,Standard Class,Home Office,East,Office Supplies,296.712,13,100.1403
CA-2014-101392,2014-12-07,Standard Class,Home Office,West,Office Supplies,269.36,7,70.0336
CA-2014-101427,2014-12-26,Standard Class,Corporate,East,Office Supplies,8.016,3,1.1022
CA-2014-101462,2014-04-20,Standard Class,Consumer,West,Furniture,59.92,4,27.5632
CA-2014-101476,2014-09-12,First Class,Home Office,East,Technology,69.99,1,30.0957
CA-2014-101560,2014-11-28,Second Class,Corporate,South,Furniture,397.6,5,43.736
CA-2014-101560,2014-11-28,Second Class,Corporate,South,Office Supplies,85.96,7,40.4012
CA-2014-101560,2014-11-28,Second Class,Corporate,South,Office Supplies,13.12,4,4.3296
CA-2014-101560,2014-11-28,Second Class,Corporate,South,Office Supplies,45.66,3,22.3734
CA-2014-101602,2014-12-15,First Class,Consumer,Central,Technology,40.68,3,-9.153
CA-2014-101602,2014-12-15,First Class,Consumer,Central,Furniture,763.28,5,-21.808
CA-2014-101770,2014-03-31,Standard Class,Corporate,South,Office Supplies,1.869,1,-1.3083
CA-2014-101833,2014-11-17,Second Class,Home Office,East,Office Supplies,34.44,3,17.22
CA-2014-101931,2014-10-28,First Class,Corporate,West,Office Supplies,7.184,2,2.245
CA-2014-101931,2014-10-28,First Class,Corporate,West,Office Supplies,6.28,2,0.0628000000000002
